Eng
Go.
Run!
Run!
Run!
Run!
Who?
Wow!
Fire!
Fire!
Help!
Help!
Jump!
Jump!
Jump.
Jump.
Stop!
Stop!
Wait!
Wait!
Hello!
Hurry!
Hurry!
Hurry!
I won!
I won!
Get up.
Got it!
Got it?
Got it?
Got it?
Got it?
He ran.
He ran.
He ran.
He ran.
I fell.
I fell.
I fell.
I fell.
I know.
I know.
I know.
I lost.
I lost.
I work.
I work.
I'm OK.
Listen.
Listen.
No way!
Really?
Really?
Really?
Thanks.
We won.
We won.
Why me?
Why me?
Ask Tom.
Ask Tom.
Call me.
Call me.
Call me.
Call me.
Call us.
Call us.
Come in.
Come on!
Come on!
Fold it.
Fold it.
Get Tom.
Get Tom.
Get Tom.
Get out.
Get out.
Go home.
He came.
He came.
He runs.
He runs.
He runs.
He runs.
Help me!
Help me!
Help me!
Help me.
Help me.
Help us.
Help us.
Help us.
I'm Tom.
I'm Tom.
I'm Tom.
I'm fat.
I'm fat.
I'm ill.
It's OK.
It's me!
It's me.
"Me, too."
"Me, too."
Open up.
Open up.
Perfect!
Show me.
Show me.
Shut up!
Shut up!
Shut up!
Tell me.
Tell me.
Tom ran.
Tom ran.
Tom won.
Wake up!
Wake up!
Wake up!
We care.
We care.
We know.
We know.
We lost.
We lost.
Welcome.
Welcome.
Welcome.
Welcome.
Who ate?
Who ran?
Who ran?
Who won?
Why not?
You won.
You won.
You won.
Back off!
Be quiet.
Be quiet.
Beats me.
Beats me.
Call Tom.
Call Tom.
Call Tom.
Call Tom.
Get down.
Grab Tom.
Grab Tom.
Grab him.
Have fun.
He spoke.
He spoke.
I can go.
I can go.
I forgot.
I forgot.
I got it.
I got it.
I looked.
I looked.
I phoned.
I prayed.
I shaved.
I use it.
I use it.
I'll try.
I'm full.
I'm game.
I'm late.
I'm lazy.
I'm poor.
I've won.
I've won.
It's hot.
It's new.
It's new.
Kiss Tom.
Leave it.
Leave it.
Leave it.
Leave it.
Leave me.
Leave me.
Leave me.
Look out!
Marry me.
Marry me.
She came.
She came.
She died.
She died.
She died.
She died.
Sit down!
Sit down!
Sit here.
Sit here.
Stand up!
Stand up!
Stand up!
Stop Tom.
Stop Tom.
Terrific!
They won.
They won.
Tom came.
Tom died.
Tom fell.
Tom knew.
Tom left.
Tom left.
Tom left.
Tom lied.
Tom lies.
Tom lost.
Tom wept.
Tom's up.
Use this.
Use this.
Warn Tom.
Warn Tom.
Watch me.
Watch me.
Watch us.
Watch us.
We'll go.
We'll go.
What for?
What for?
Who am I?
Who came?
Who died?
Who fell?
Who's he?
Who's he?
Answer me.
Answer me.
Birds fly.
Calm down!
Catch him.
Catch him.
Catch him.
Catch him.
Come here.
Come here.
Come home.
Come home.
Did I win?
Did I win?
Dogs bark.
